uid,anchor_point_id_v2,domain_num,domain_name,source,chapter_num,chapter_title,verbatim_anchor,old_anchor,testable_fact
D1-LEA-020-fba878e3,AP-D1-LEA-020,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""Repeated application of a conditioned stimulus which is not followed up by reinforcement leads to a weakening of the conditioned reflex."" ""Left to themselves extinguished conditioned reflexes spontaneously recover their full strength after a longer or shorter interval of time."" ""It cannot be regarded as an irreparable destruction of the conditioned reflex... evidenced by the fact that the extinguished reflexes spontaneously regenerate in course of time."" Extinction suppresses rather than eliminates learned associations.","Spontaneous recovery refers to the return of an extinguished conditioned response without the conditioned stimulus being presented again with the unconditioned stimulus, confirming that a conditioned response is suppressed rather than eliminated by extinction trials.",Spontaneous recovery — the return of an extinguished CR after a rest interval without reconditioning — demonstrates that extinction suppresses rather than permanently eliminates the learned association.
D1-LEA-03-f81f8ec9,AP-D1-LEA-03,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Rescorla, R.A. (1988). Pavlovian conditioning: It's not what you think it is. American Psychologist, 43(3), 151-160: The CR is typically similar to but may differ from the UR, and is generally less intense. Rescorla notes ""an important, but poorly appreciated, fact about conditioning that makes nonsense of any claim that a signal simply acquires the ability to evoke the response to the US.""",The conditioned response elicited by a neutral stimulus in classical conditioning is usually less in intensity than the unconditioned response.,The conditioned response in classical conditioning is typically similar to but less intense than the unconditioned response.
D1-LEA-041-1-455c605b,AP-D1-LEA-041-1,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Thorndike (1911): Thorndike's research with cats in a puzzle box led to his development of the law of effect: ""Of several responses made to the same situation, those which are accompanied or closely followed by satisfaction to the animal will, other things being equal, be more firmly connected with the situation... those which are accompanied or closely followed by discomfort to the animal will, other things being equal, have their connections with that situation weakened.""",Thorndike's research with cats in a puzzle box led to his development of the law of effect.,"Thorndike's law of effect states that responses followed by satisfying outcomes are strengthened while those followed by discomfort are weakened, derived from his puzzle-box research with cats."
D1-LEA-041-2-6c914ecc,AP-D1-LEA-041-2,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Dinsmoor, J.A. (1977). Escape, avoidance, punishment. Journal of the Experimental Analysis of Behavior, 28(1), 83-95: ""More rapid termination of the shock selectively reinforced the behavior of holding the bar down."" Escape conditioning is a form of negative reinforcement in which a behavior terminates an ongoing aversive stimulus.","Continuing to say ""I love you"" to his mother whenever she yells at the boy is a result of escape conditioning, where the behavior is maintained because it allows the boy to ""escape"" his mother's yelling.",Escape conditioning is a form of negative reinforcement in which a behavior is strengthened because it terminates an ongoing aversive stimulus.
D1-LEA-042-8c39d910,AP-D1-LEA-042,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Skinner (1953): ""We define the negative reinforcer (an aversive stimulus) as any stimulus the withdrawal of which strengthens the behavior."" Behavior that terminates an aversive stimulus is strengthened by removal of that stimulus.","Negative reinforcement occurs when a behavior continues or increases because performing the behavior results in the termination or withdrawal of a stimulus, as exemplified by a woman who eats chocolate because it reduces her anxiety.",Negative reinforcement strengthens behavior by removing an aversive stimulus contingent upon that behavior.
D1-LEA-05-1-36778c26,AP-D1-LEA-05-1,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Moher, C.A. et al. (2008). Non-generalized and generalized conditioned reinforcers. Behavioral Interventions, 23(1), 13-38: Generalized conditioned reinforcers ""may be less sensitive to the effects of satiation"" because their effectiveness ""does not depend on a single kind of deprivation."" ""Increasing the number of backup reinforcers with which the token was paired resulted in the effectiveness maintaining during satiation conditions.""","Generalized reinforcers (e.g., money, tokens) are less susceptible than primary and secondary reinforcers to satiation because they can be exchanged for a variety of back-up (primary) reinforcers.","Generalized conditioned reinforcers (e.g., money, tokens) are less susceptible to satiation than primary reinforcers because their effectiveness depends on access to multiple backup reinforcers rather than a single deprivation state."
D1-LEA-05-2-0352a19c,AP-D1-LEA-05-2,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Skinner, B.F. (1953). Science and human behavior. Macmillan: A positive discriminative stimulus (S^D) ""sets the occasion"" for a response by signaling that reinforcement is available. In its presence, the operant response is reinforced; in its absence, the response goes unreinforced. The S^D does not elicit the behavior but rather indicates that reinforcement is contingent upon the response.",A positive discriminative stimulus signals that a behavior will be reinforced.,A positive discriminative stimulus (S^D) signals that reinforcement is available for a response but does not elicit the behavior; it sets the occasion for the operant response.
D1-LEA-052-148dae11,AP-D1-LEA-052,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Lerman, D.C. & Vorndran, C.M. (2002). On the status of knowledge for using punishment. Journal of Applied Behavior Analysis, 35(4), 431-464: Negative punishment involves ""the removal of stimuli, often called negative punishment (i.e., response cost, time-out from positive reinforcement)."" The removal of a desirable stimulus following a behavior decreases the likelihood of that behavior occurring in the future.","Negative punishment occurs when a behavior decreases or stops because a stimulus is removed following the behavior, as in the situation where a 12-year-old boy stops teasing his younger sister because his parents subtract 50 cents from his weekly allowance whenever he does so.",Negative punishment decreases the future probability of a behavior by removing a desirable stimulus contingent upon that behavior.
D1-LEA-053-83169ca2,AP-D1-LEA-053,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Mowrer, O.H. (1956). Two-factor learning theory reconsidered. Psychological Review, 63(2), 114-128: ""Basically the two-factor, or two-process, hypothesis holds that habits are learned on the basis of the reinforcement provided by reward, or drive reduction, and that fears are learned (conditioned) on the basis of the contiguous occurrence of a signal and punishment."" Avoidance involves (1) classical conditioning of fear to a neutral stimulus and (2) operant conditioning of avoidance behavior reinforced by fear reduction.",Mowrer's (1960) two-factor theory of learning proposes that avoidance conditioning is an example of two-factor learning because it combines classical conditioning and negative reinforcement (operant conditioning).,Mowrer's two-factor theory proposes that avoidance behavior involves classical conditioning of fear to a neutral stimulus and operant conditioning (negative reinforcement) in which avoidance is maintained by fear reduction.
D1-LEA-06-1-ab50ddaa,AP-D1-LEA-06-1,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Mowrer, O.H. (1956). Two-factor learning theory reconsidered. Psychological Review, 63(2), 114-128: ""Basically the two-factor, or two-process, hypothesis holds that habits are learned on the basis of the reinforcement provided by reward, or drive reduction, and that fears are learned (conditioned) on the basis of the contiguous occurrence of a signal and punishment."" Avoidance conditioning combines (1) classical conditioning of fear to a neutral stimulus and (2) operant conditioning (negative reinforcement) in which the avoidance behavior is maintained because it reduces conditioned fear.",Avoidance conditioning is an example of two-factor learning that combines classical conditioning and negative reinforcement.,Mowrer's two-factor theory holds that avoidance conditioning combines classical conditioning of fear to a neutral cue and operant negative reinforcement in which the avoidance response is maintained by reducing conditioned fear.
D1-LEA-06-2-68e52b11,AP-D1-LEA-06-2,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Reynolds, G.S. (1961). Behavioral contrast. Journal of the Experimental Analysis of Behavior, 4(1), 57-71: ""The increase in the rate of responding during one component of a multiple schedule when the conditions in another component are changed so as to decrease the rate of responding during that component"" constitutes behavioral contrast. When reinforcement is discontinued for one behavior but maintained for another, the still-reinforced behavior increases in rate -- a phenomenon termed behavioral contrast.","The boy's response to the change in reinforcement, where the point system is stopped for cleaning the cat box but not for taking out the garbage, is referred to as behavioral contrast.",Behavioral contrast occurs when discontinuing reinforcement for one behavior in a multiple schedule causes the rate of the still-reinforced behavior to increase above its original baseline level.
D1-LEA-063-0d8bdf77,AP-D1-LEA-063,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Reynolds, G.S. (1961). Behavioral contrast. Journal of the Experimental Analysis of Behavior, 4(1), 57-71: Positive behavioral contrast occurs when reinforcement for one behavior in a multiple schedule is discontinued while reinforcement for the other behavior remains unchanged, resulting in the still-reinforced behavior increasing in rate above its original baseline level, while the no-longer-reinforced behavior decreases.","Positive behavioral contrast occurs when two behaviors are being reinforced and the reinforcement for one behavior is stopped while reinforcement for the other behavior stays the same, resulting in the behavior that is no longer reinforced decreasing and the behavior that is still receiving the same amount of reinforcement increasing.","Positive behavioral contrast occurs in multiple schedules when reinforcement for one behavior is discontinued, causing the rate of the still-reinforced behavior to increase above its original baseline."
D1-LEA-064-1dbb49a4,AP-D1-LEA-064,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Hagopian, L.P. et al. (2011). Reinforcement schedule thinning following functional communication training. Behavior Analysis in Practice, 4(1), 4-16: Schedule thinning involves ""altering the reinforcement schedule, usually in a systematic and progressive manner across multiple sessions, until some terminal schedule, judged to be practical for care providers to implement, is reached."" The systematic, gradual transition from dense to lean reinforcement schedules.","Reducing the amount of positive reinforcement, referred to as thinning, involves going from a ""thicker"" reinforcement schedule to a ""thinner"" one.","Schedule thinning is the systematic, gradual transition from a dense (thick) to a lean (thin) reinforcement schedule until a practical terminal schedule is reached."
D1-LEA-07-1-47b7292b,AP-D1-LEA-07-1,1,Psychometrics & Research Methods,textbook,D1-Ch05,Applied Principles and the Bridge to Research Methods,"Reynolds, G.S. (1961). Behavioral contrast. Journal of the Experimental Analysis of Behavior, 4(1), 57-71: When reinforcement is stopped for one of two concurrently reinforced responses (e.g., pressing Bar B), positive behavioral contrast predicts that the still-reinforced response (pressing Bar A) will increase in frequency while the no-longer-reinforced response (pressing Bar B) decreases.","If reinforcement is stopped for pressing Bar B, a rat will press Bar A with greater frequency and Bar B with less frequency.","Positive behavioral contrast occurs when reinforcement is discontinued for one of two concurrently reinforced responses, causing the still-reinforced response to increase in frequency."
D1-LEA-07-2-10eebb33,AP-D1-LEA-07-2,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Dinsmoor, J.A. (1977). Escape, avoidance, punishment. Journal of the Experimental Analysis of Behavior, 28(1), 83-95: ""The only requirement is that these responses produce earlier termination of the shock when the animal is holding the bar down at the moment of onset than when it is somewhere else, off the bar."" The behavior that results in removal of the aversive stimulus is the one being negatively reinforced. Always identify whose behavior is being strengthened by the removal of the aversive stimulus -- that individual is under negative reinforcement control.",Mrs. Smith's reprimands for her son Sam hitting the family dog are being controlled by negative reinforcement.,"In negative reinforcement, the behavior that produces removal of an aversive stimulus is strengthened; always identify whose behavior is increased by the aversive stimulus's removal."
D1-LEA-07-3-941caf27,AP-D1-LEA-07-3,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Hagopian, L.P. et al. (2011). Reinforcement schedule thinning following functional communication training. Behavior Analysis in Practice, 4(1), 4-16: Schedule thinning involves ""altering the reinforcement schedule, usually in a systematic and progressive manner across multiple sessions, until some terminal schedule, judged to be practical for care providers to implement, is reached."" Thinning is the gradual transition from a denser (thicker) to a leaner (thinner) reinforcement schedule.",Reducing the amount of positive reinforcement is referred to as thinning.,"Thinning refers to the gradual, systematic reduction of reinforcement density, transitioning from a denser to a leaner reinforcement schedule."
D1-LEA-074-5dab688e,AP-D1-LEA-074,1,Psychometrics & Research Methods,textbook,D1-Ch05,Applied Principles and the Bridge to Research Methods,"Skinner, B.F. (1948). ""Superstition"" in the pigeon. Journal of Experimental Psychology, 38(2), 168-172: Skinner referred to the unusual behaviors exhibited by pigeons -- such as bowing, turning, and hopping on one foot -- as ""superstitious behavior."" When pigeons were delivered food pellets every 15 seconds regardless of their behavior, they developed ritualistic responses as if those behaviors caused the food delivery. ""The bird behaves as if there were a causal relation between its behavior and the presentation of food, although such a relation is lacking.""","B. F. Skinner (1948) referred to the unusual behaviors, such as bowing, turning, and hopping on one foot, exhibited by pigeons who were delivered food pellets every 15 seconds regardless of their behavior as superstitious behaviors.","Skinner termed the ritualistic behaviors (bowing, turning, hopping) pigeons developed under noncontingent fixed-time food delivery superstitious behavior, as if the behavior caused food delivery."
D1-LEA-08-22a02a45,AP-D1-LEA-08,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Lerman, D.C. et al. (1996). Responding maintained by intermittent reinforcement. Journal of Applied Behavior Analysis, 29(2), 153-171: ""Switching from an INT to a CRF schedule prior to extinction may lower the baseline response rate."" Continuous reinforcement carries a high risk of satiation, while transitioning to intermittent reinforcement reduces satiation risk and maintains behavior.",Switching from a continuous schedule to an intermittent schedule of reinforcement reduces the risk for satiation when a parent is using positive reinforcement to establish a desirable behavior in their child.,Switching from a continuous reinforcement schedule to an intermittent schedule reduces the risk of satiation while maintaining behavior.
D1-LEA-085-af70c17e,AP-D1-LEA-085,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Terrace, H.S. (1963). Discrimination learning with and without ""errors."" Journal of the Experimental Analysis of Behavior, 6(1), 1-27: ""S--'s duration and brightness is progressively increased until S+ and S-- differ only with respect to wavelength."" By gradually changing stimuli, organisms can learn discriminations ""without errors."" Fading involves the gradual withdrawal of auxiliary stimulus differences (prompts) so that behavior comes under control of the natural discriminative stimulus alone.","In the context of operant conditioning, fading refers to the systematic and gradual removal of prompts.",Fading is the systematic and gradual removal of prompts so that behavior comes under control of the natural discriminative stimulus alone.
D1-LEA-09-ad9346c2,AP-D1-LEA-09,1,Psychometrics & Research Methods,textbook,D1-Ch03,"Consequences That Shape Behavior: Reinforcement, Punishment, and the Operant Framework","Baer, D.M., Wolf, M.M., & Risley, T.R. (1968). Some current dimensions of applied behavior analysis. Journal of Applied Behavior Analysis, 1(1), 91-97: The discriminative stimulus (SD) signals that reinforcement is available for a particular response; in its presence a response is reinforced, and in its absence it goes unreinforced.","When using stimulus control to increase a behavior, the presence of a discriminative stimulus indicates that the behavior will be reinforced.","A discriminative stimulus (SD) signals that a particular response will be reinforced, thereby increasing the probability of that response in its presence."
D1-LEA-092-1cdb7a2f,AP-D1-LEA-092,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Nevin, J.A. & Grace, R.C. (2000). Behavioral momentum and the Law of Effect. Behavioral and Brain Sciences, 23(1), 73-90: ""Variable-ratio (VR) schedules usually maintain much higher response rates than VI schedules."" The variable ratio schedule produces the highest and most consistent response rate among the four basic intermittent schedules. When using positive reinforcement to establish or increase a behavior, use of the variable ratio schedule maximizes resistance to extinction.","When using positive reinforcement to establish or increase a behavior, use of the variable ratio schedule of reinforcement will maximize the behavior's resistance to extinction.",The variable-ratio schedule produces the highest and most consistent response rates and maximizes resistance to extinction among the four basic intermittent reinforcement schedules.
D1-LEA-103-8c98736b,AP-D1-LEA-103,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Nevin, J.A. & Grace, R.C. (2000). Behavioral momentum and the Law of Effect. Behavioral and Brain Sciences, 23(1), 73-90: ""Variable-ratio (VR) schedules usually maintain much higher response rates than VI schedules."" Among the four basic intermittent schedules (FR, VR, FI, VI), the variable-ratio schedule produces the highest and most consistent response rates and the greatest resistance to extinction.",The variable ratio schedule of reinforcement produces the highest and steadiest rate of responding and the greatest resistance to extinction.,"The variable-ratio schedule produces the highest, steadiest rate of responding and the greatest resistance to extinction among the four basic intermittent reinforcement schedules."
D1-LEA-217-d305f4e8,AP-D1-LEA-217,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Watson, J.B. & Rayner, R. (1920). Conditioned emotional reactions. Journal of Experimental Psychology, 3(1), 1-14: ""The instant the rat was shown, the bar was struck immediately behind his head."" The CS (white rat) was presented and overlapped in time with the US (loud noise), consistent with delay conditioning -- the CS precedes and temporally overlaps the US. Watson used this forward/delay conditioning procedure to establish Little Albert's conditioned fear response to the white rat.",John Watson used delay conditioning to establish Little Albert's fear response to white rats.,"Watson used delay conditioning with Little Albert, presenting the CS (white rat) before and overlapping with the US (loud noise) to establish a conditioned fear response."
D1-LEA-33-2390dc8c,AP-D1-LEA-33,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov, I.P. (1927). Conditioned reflexes: An investigation of the physiological activity of the cerebral cortex. Oxford University Press: ""Left to themselves extinguished conditioned reflexes spontaneously recover their full strength after a longer or shorter interval of time."" ""It cannot be regarded as an irreparable destruction of the conditioned reflex."" Spontaneous recovery after extinction trials demonstrates that extinction is due to internal inhibition (active suppression) rather than the erasure of the learned association.",Pavlov's observation of spontaneous recovery of a conditioned response after extinction trials provides evidence that extinction is due to internal inhibition.,Pavlov's observation of spontaneous recovery after extinction provides evidence that extinction results from internal inhibition (active suppression) rather than erasure of the learned association.
D1-RMS-001-2c57e329,AP-D1-RMS-001,1,Psychometrics & Research Methods,lecture,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Gueorguieva, R. & Krystal, J.H. (2004). Move over ANOVA. Archives of General Psychiatry, 61(3), 310-317: Designs involving ""multiple measurements of the same individual"" where subjects are ""randomly assigned to treatment groups"" (between-subjects factor) and measured at multiple time points (within-subjects factor). A mixed design combines at least one between-subjects factor and one within-subjects factor.","A mixed design is used in a research study that has at least two independent variables, one between groups and one within subjects variable, to compare the short- and long-term effects of three brief behavioral treatments for social anxiety disorder.","A mixed design includes at least one between-subjects factor and one within-subjects factor, allowing comparison of group differences across multiple measurement points."
